DISTRICT,STATES,Months,2021-2022forecast,2021-2022plan,2021-2022Actual,actual -plan,actual-forecast
AJMER,Rajasthan,Aug-21,6203.77,4300,5732.4,0.249877887,0.082229084
ALWAR,Rajasthan,Aug-21,7120.91,5500,5548.75,0.008785763,0.283335886
ARARIA,Bihar,Aug-21,4060.93,3345,3565.2,0.061763716,0.139046898
ARWAL,Bihar,Aug-21,1074.05,880,402,1.189054726,1.671766169
AURANGABAD,Bihar,Aug-21,6914.01,8250,2731,2.020871476,1.531677041
BANKA,Bihar,Aug-21,4615.18,4435,2092.95,1.11901861,1.205107623
BANSWARA,Rajasthan,Aug-21,1670.37,1700,1948.4,0.127489222,0.142696572
BARAN,Rajasthan,Aug-21,1573.96,1400,803,0.743462017,0.960099626
BARMER,Rajasthan,Aug-21,1454.28,1300,2158.8,0.3978136,0.326347971
BEGUSARAI,Bihar,Aug-21,1565.46,1095.077567,601,0.822092458,1.604758735
BHAGALPUR,Bihar,Aug-21,3803.9,3880,1916.5,1.024523872,0.984816071
BHARATPUR,Rajasthan,Aug-21,7727.7,5500,5863.2,0.061945695,0.318000409
BHILWARA,Rajasthan,Aug-21,5476.77,4000,5215.7,0.233084725,0.050054643
BHOJPUR,Bihar,Aug-21,2861.95,2725,1069.6,1.547681376,1.675719895
BIKANER,Rajasthan,Aug-21,4886.48,3300,4022.5,0.179614667,0.214786824
BUNDI,Rajasthan,Aug-21,2178.43,1600,1491,0.073105298,0.461052985
BUXAR,Bihar,Aug-21,3535.28,3210,813.05,2.948096673,3.348170469
CHITTORGARH,Rajasthan,Aug-21,1043.5,1600,1932.3,0.171971226,0.459969984
CHURU,Rajasthan,Aug-21,4974.32,3600,4082.75,0.118241381,0.21837487
DARBHANGA,Bihar,Aug-21,5536.13,5010,2702.65,0.853736148,1.048408044
DAUSA,Rajasthan,Aug-21,3015.36,2200,2341.75,0.060531654,0.287652397
DHOLPUR,Rajasthan,Aug-21,3590.28,2700,3008,0.102393617,0.193577128
DUNGARPUR,Rajasthan,Aug-21,1753.63,1500,1885.5,0.204455052,0.069939008
EAST CHAMPARAN,Bihar,Aug-21,11769.64,9455,4514.1,1.094548193,1.607305997
GAYA,Bihar,Aug-21,7177.97,8120,4672.25,0.737920702,0.536298357
GOPALGANJ,Bihar,Aug-21,4685.94,4310,3645.95,0.1821336,0.285245272
HANUMANGARH,Rajasthan,Aug-21,3806.25,3100,3844,0.193548387,0.009820499
JAIPUR,Rajasthan,Aug-21,17641.95,14500,17823.75,0.186478715,0.010199874
JAISALMER,Rajasthan,Aug-21,1333.81,1000,1525,0.344262295,0.125370492
JALORE,Rajasthan,Aug-21,1413.41,1500,1563,0.040307102,0.095706974
JAMUI,Bihar,Aug-21,1659.53,1720,840.4,1.046644455,0.974690624
JEHANABAD,Bihar,Aug-21,1370.28,1345,808,0.66460396,0.695891089
JHALAWAR,Rajasthan,Aug-21,2304.96,1800,1860,0.032258065,0.239225806
JHUNJHUNU,Rajasthan,Aug-21,8586.15,5200,7542.3,0.310555136,0.138399427
JODHPUR,Rajasthan,Aug-21,3105.77,2400,3085.2,0.222092571,0.006667315
KAIMUR,Bihar,Aug-21,6472.53,5705,1390,3.104316547,3.656496403
KAROLI,Rajasthan,Aug-21,3056.61,2500,2230,0.121076233,0.37067713
KATIHAR,Bihar,Aug-21,1224.23,1000,779.75,0.282462328,0.570028855
KHAGARIA,Bihar,Aug-21,1972.11,1405,628.9,1.234059469,2.135808555
KISHANGANJ,Bihar,Aug-21,1702.25,2330,381,5.115485564,3.467847769
KOTA,Rajasthan,Aug-21,2636.92,2300,2008.5,0.145133184,0.312880259
LAKHISARAI,Bihar,Aug-21,547.45,300,519.45,0.42246607,0.053903167
MADHEPURA,Bihar,Aug-21,2767.63,2005,1507.15,0.330325449,0.836333477
MADHUBANI,Bihar,Aug-21,2271.76,2050,1047,0.957975167,1.169780325
MUNGER,Bihar,Aug-21,291.68,765,215,2.558139535,0.356651163
MUZAFFARPUR,Bihar,Aug-21,6766.32,5540,3063.8,0.808212024,1.208473138
NAGAUR,Rajasthan,Aug-21,2013.53,1700,1792,0.051339286,0.123621652
NALANDA,Bihar,Aug-21,2544.8,2565,1962.05,0.307306134,0.29701078
NAWADA,Bihar,Aug-21,815.03,765,304.25,1.514379622,1.678816763
PALI,Rajasthan,Aug-21,5118.51,3500,4904.25,0.286333282,0.043688637
PATNA,Bihar,Aug-21,18637.71,17585,10422.3,0.687247537,0.788253073
PRATAPGARH,Rajasthan,Aug-21,1732.42,1800,1906.25,0.055737705,0.091189508
PURNEA,Bihar,Aug-21,2657.28,2355,1758.7,0.339057258,0.510934213
RAJSAMAND,Rajasthan,Aug-21,1512.2,1300,1729.75,0.248446307,0.12576962
ROHTAS,Bihar,Aug-21,7460.95,6860,1389,3.938804896,4.371454284
SAHARSA,Bihar,Aug-21,1638.14,1495,1345,0.111524164,0.217947955
SAMASTIPUR,Bihar,Aug-21,4969.01,3665,3028.9,0.210010235,0.640532867
SARAN,Bihar,Aug-21,6739.76,5480,4383.2,0.250228144,0.537634605
SAWAIMADHOPUR,Rajasthan,Aug-21,3522.31,2700,2194,0.230628988,0.605428441
SEIKHPURA,Bihar,Aug-21,855.97,890,683,0.303074671,0.253250366
SHEOHAR,Bihar,Aug-21,1273.21,915,571.9,0.599930058,1.226280818
SIKAR,Rajasthan,Aug-21,4220.55,3400,5000.45,0.320061194,0.155965963
SIROHI,Rajasthan,Aug-21,2041.64,1800,2085.4,0.136856239,0.020983984
SITAMARHI,Bihar,Aug-21,3466.69,2575,1000.75,1.573070197,2.464091931
SIWAN,Bihar,Aug-21,7190.84,5555,3640.05,0.526077938,0.975478359
SRIGANGANAGAR,Rajasthan,Aug-21,4545.11,3400,4007.5,0.151590767,0.134150967
SUPAUL,Bihar,Aug-21,2227.66,1765,1001.25,0.762796504,1.224878901
TONK,Rajasthan,Aug-21,3078.79,1800,2415,0.254658385,0.274861284
UDAIPUR,Rajasthan,Aug-21,4309.52,4100,4799.4,0.145726549,0.102071092
VAISHALI,Bihar,Aug-21,7024.13,5240,3345.75,0.566166032,1.099418665
WEST CHAMPARAN,Bihar,Aug-21,9117.19,8410,4310.9,0.950868728,1.114915679
AJMER,Rajasthan,Sep-21,5994.72,4300,4703.45,0.085777461,0.274536776
ALWAR,Rajasthan,Sep-21,6504.67,5700,5327.75,0.06987002,0.220903759
ARARIA,Bihar,Sep-21,2427.35,3345,2633.6,0.270124544,0.078314854
ARWAL,Bihar,Sep-21,620.11,880,506,0.739130435,0.225513834
AURANGABAD,Bihar,Sep-21,4428.43,8250,4048,1.038043478,0.093979743
BANKA,Bihar,Sep-21,3800.86,4435,3192.65,0.389128154,0.190503187
BANSWARA,Rajasthan,Sep-21,2085.29,1700,1476.2,0.151605474,0.412606693
BARAN,Rajasthan,Sep-21,899.59,1400,1320,0.060606061,0.318492424
BARMER,Rajasthan,Sep-21,1751.97,1300,1328.8,0.021673691,0.318460265
BEGUSARAI,Bihar,Sep-21,799.05,1095.077567,601,0.822092458,0.32953411
BHAGALPUR,Bihar,Sep-21,2486.8,3880,2331,0.664521665,0.066838267
BHARATPUR,Rajasthan,Sep-21,6523.25,5700,5009.65,0.137804038,0.302136876
BHILWARA,Rajasthan,Sep-21,5566.56,4000,4294.45,0.068565241,0.296221868
BHOJPUR,Bihar,Sep-21,1596.61,2725,2113.75,0.289178001,0.244655234
BIKANER,Rajasthan,Sep-21,4122.3,3300,3539.25,0.067599068,0.164738292
BUNDI,Rajasthan,Sep-21,1845.39,1600,1490.75,0.073285259,0.237893678
BUXAR,Bihar,Sep-21,1022.68,3210,1751.95,0.832244071,0.41626188
CHITTORGARH,Rajasthan,Sep-21,1770.04,1600,1393,0.148600144,0.270667624
CHURU,Rajasthan,Sep-21,4456.59,3600,3590.95,0.002520224,0.241061558
DARBHANGA,Bihar,Sep-21,4961.34,5010,3080.7,0.626253773,0.610458662
DAUSA,Rajasthan,Sep-21,2608.07,2400,2046.5,0.172733936,0.274405082
DHOLPUR,Rajasthan,Sep-21,3309.39,2900,2728.7,0.062777147,0.212808297
DUNGARPUR,Rajasthan,Sep-21,1636.75,1600,1579.5,0.012978791,0.036245647
EAST CHAMPARAN,Bihar,Sep-21,10910.08,9455,7146.75,0.322978976,0.526579214
GAYA,Bihar,Sep-21,7017.42,8120,5966.65,0.360897656,0.176107196
GOPALGANJ,Bihar,Sep-21,3356.9,4310,4367.35,0.013131533,0.231364557
HANUMANGARH,Rajasthan,Sep-21,4112.2,3100,3192,0.028822055,0.288283208
JAIPUR,Rajasthan,Sep-21,17172.82,15000,17343.8,0.135137628,0.009858278
JAISALMER,Rajasthan,Sep-21,1193.1,1000,1127,0.112688554,0.058651287
JALORE,Rajasthan,Sep-21,1570.53,1500,923,0.625135428,0.701549296
JAMUI,Bihar,Sep-21,1026.87,1720,1245.35,0.381137833,0.175436624
JEHANABAD,Bihar,Sep-21,1131.08,1345,819,0.642246642,0.381050061
JHALAWAR,Rajasthan,Sep-21,1892.28,1800,1863,0.033816425,0.015716586
JHUNJHUNU,Rajasthan,Sep-21,7700.03,5300,6833.1,0.224363759,0.126872137
JODHPUR,Rajasthan,Sep-21,3071.98,2400,3336.5,0.280683351,0.079280683
KAIMUR,Bihar,Sep-21,993.61,5705,2325,1.453763441,0.57264086
KAROLI,Rajasthan,Sep-21,2632.35,2600,1973,0.317790167,0.334186518
KATIHAR,Bihar,Sep-21,882.84,1000,648.1,0.542971764,0.362197192
KHAGARIA,Bihar,Sep-21,801.42,1405,818,0.717603912,0.020268949
KISHANGANJ,Bihar,Sep-21,145.35,2330,2222.5,0.048368954,0.934600675
KOTA,Rajasthan,Sep-21,2229.82,2300,2331.5,0.013510615,0.043611409
LAKHISARAI,Bihar,Sep-21,424.99,305,390,0.217948718,0.089717949
MADHEPURA,Bihar,Sep-21,1213.05,2005,1492.1,0.343743717,0.187018296
MADHUBANI,Bihar,Sep-21,1838.74,2050,1314.5,0.559528338,0.398813237
MUNGER,Bihar,Sep-21,262.47,765,75,9.2,2.4996
MUZAFFARPUR,Bihar,Sep-21,6873.23,5540,3057.15,0.812145299,1.248247551
NAGAUR,Rajasthan,Sep-21,1976.35,1700,1657,0.025950513,0.192727821
NALANDA,Bihar,Sep-21,2558.75,2565,1626.95,0.576569655,0.572728111
NAWADA,Bihar,Sep-21,758.54,765,1051.55,0.272502496,0.278645809
PALI,Rajasthan,Sep-21,4782.54,3700,3685.3,0.00398882,0.297734241
PATNA,Bihar,Sep-21,15193.41,17585,12972.75,0.355533715,0.171178817
PRATAPGARH,Rajasthan,Sep-21,1862.66,1800,1676,0.07398568,0.111372315
PURNEA,Bihar,Sep-21,2196.54,2355,1288.35,0.827919432,0.704924904
RAJSAMAND,Rajasthan,Sep-21,1627.22,1300,1384,0.060693642,0.175736994
ROHTAS,Bihar,Sep-21,1761.78,6860,2540.5,1.700255855,0.306522338
SAHARSA,Bihar,Sep-21,1574.64,1495,1102,0.356624319,0.428892922
SAMASTIPUR,Bihar,Sep-21,4858.94,3665,3039.75,0.205691258,0.598466979
SARAN,Bihar,Sep-21,5999.66,5480,5227.1,0.048382468,0.147798971
SAWAIMADHOPUR,Rajasthan,Sep-21,2719.48,3000,2412,0.243781095,0.12747927
SEIKHPURA,Bihar,Sep-21,692.99,890,729,0.22085048,0.049396433
SHEOHAR,Bihar,Sep-21,1100.12,915,423,1.163120567,1.600756501
SIKAR,Rajasthan,Sep-21,4807.43,3400,4288.35,0.207154267,0.121044224
SIROHI,Rajasthan,Sep-21,2196.37,1800,1786.4,0.007613077,0.229495074
SITAMARHI,Bihar,Sep-21,1506.9,2575,870.8,1.957050988,0.730477722
SIWAN,Bihar,Sep-21,5403.45,5555,3229.9,0.719867488,0.672946531
SRIGANGANAGAR,Rajasthan,Sep-21,4534.78,3400,3730,0.08847185,0.215758713
SUPAUL,Bihar,Sep-21,2191.21,1765,890,0.983146067,1.462033708
TONK,Rajasthan,Sep-21,2746.16,1800,2029,0.11286348,0.353454904
UDAIPUR,Rajasthan,Sep-21,4442.53,4000,3765.15,0.062374673,0.179907839
VAISHALI,Bihar,Sep-21,6230.88,5240,4040.3,0.296933396,0.542182511
WEST CHAMPARAN,Bihar,Sep-21,8884.33,8410,6914.8,0.216231851,0.284828195
AJMER,Rajasthan,Oct-21,5213.01,4200,6464.6,0.35030783,0.19360672
ALWAR,Rajasthan,Oct-21,6392.91,7200,7710,0.06614786,0.170828794
ARARIA,Bihar,Oct-21,2537.61,3790,1863.85,1.033425437,0.361488317
ARWAL,Bihar,Oct-21,550.5,945,497,0.901408451,0.107645875
AURANGABAD,Bihar,Oct-21,5522.19,8840,4622,0.912591952,0.194762008
BANKA,Bihar,Oct-21,4654.91,4750,3015.4,0.575247065,0.543712277
BANSWARA,Rajasthan,Oct-21,1805.75,1700,1927,0.117799689,0.06292164
BARAN,Rajasthan,Oct-21,1230.96,1400,1686,0.169632266,0.269893238
BARMER,Rajasthan,Oct-21,1657.65,1500,1874.75,0.199893319,0.115802107
BEGUSARAI,Bihar,Oct-21,684.15,1240,755.1,0.6421666,0.093961065
BHAGALPUR,Bihar,Oct-21,2729.3,4155,1804.55,1.302513092,0.512454629
BHARATPUR,Rajasthan,Oct-21,5987.75,6700,6857.25,0.022931933,0.126800102
BHILWARA,Rajasthan,Oct-21,4808.25,4500,6123.85,0.265168154,0.214832173
BHOJPUR,Bihar,Oct-21,2800.15,2920,1768,0.65158371,0.583795249
BIKANER,Rajasthan,Oct-21,3850.43,3300,4165.5,0.207778178,0.075637979
BUNDI,Rajasthan,Oct-21,2187.67,1600,2055.25,0.2215059,0.064430118
BUXAR,Bihar,Oct-21,1944.14,3440,1542.95,1.229495447,0.260014907
CHITTORGARH,Rajasthan,Oct-21,1600.84,1500,1512.05,0.007969313,0.058721603
CHURU,Rajasthan,Oct-21,3783.4,3600,4184,0.13957935,0.095745698
DARBHANGA,Bihar,Oct-21,2951.84,5680,2581.4,1.200356396,0.143503525
DAUSA,Rajasthan,Oct-21,2600.48,3200,2619.5,0.221607177,0.007260928
DHOLPUR,Rajasthan,Oct-21,2712.81,3100,3034,0.021753461,0.105863546
DUNGARPUR,Rajasthan,Oct-21,1783.51,1700,2138.75,0.205143191,0.166097019
EAST CHAMPARAN,Bihar,Oct-21,11216.36,10715,5447.55,0.966939266,1.0589733
GAYA,Bihar,Oct-21,6870.73,8700,5444.5,0.597942878,0.261957939
GOPALGANJ,Bihar,Oct-21,4820.46,4885,5170.65,0.055244505,0.067726495
HANUMANGARH,Rajasthan,Oct-21,3399.56,3100,4570,0.32166302,0.256113786
JAIPUR,Rajasthan,Oct-21,17520.09,14500,21473.05,0.324734958,0.184089359
JAISALMER,Rajasthan,Oct-21,1261.23,1100,1478,0.255751015,0.146664411
JALORE,Rajasthan,Oct-21,1309.95,1500,2074,0.276759884,0.368394407
JAMUI,Bihar,Oct-21,1311.35,1845,1072.05,0.721001819,0.223217201
JEHANABAD,Bihar,Oct-21,1000.55,1440,663,1.171945701,0.509125189
JHALAWAR,Rajasthan,Oct-21,1903.56,1800,1802.5,0.001386963,0.056066574
JHUNJHUNU,Rajasthan,Oct-21,6866.84,5200,8242.6,0.369131099,0.1669085
JODHPUR,Rajasthan,Oct-21,3358.11,2400,5657.15,0.575758111,0.406395446
KAIMUR,Bihar,Oct-21,2252.25,6115,2228.5,1.743998205,0.010657393
KAROLI,Rajasthan,Oct-21,2486.56,3100,3162,0.019607843,0.213611638
KATIHAR,Bihar,Oct-21,710.68,1130,915.3,0.234567901,0.223555119
KHAGARIA,Bihar,Oct-21,836.72,1590,1082,0.469500924,0.226691312
KISHANGANJ,Bihar,Oct-21,2145.57,2640,1615.6,0.634067839,0.328032929
KOTA,Rajasthan,Oct-21,2497.88,2300,3318.5,0.306915775,0.247286425
LAKHISARAI,Bihar,Oct-21,477.47,325,328.25,0.00990099,0.454592536
MADHEPURA,Bihar,Oct-21,1827.59,2275,1221.5,0.862464183,0.496185018
MADHUBANI,Bihar,Oct-21,1892.9,2325,1339,0.736370426,0.413666916
MUNGER,Bihar,Oct-21,35.14,820,255,2.215686275,0.862196078
MUZAFFARPUR,Bihar,Oct-21,3968.2,6275,2598.25,1.415087078,0.527258732
NAGAUR,Rajasthan,Oct-21,1981.81,1700,2037,0.165439372,0.027093765
NALANDA,Bihar,Oct-21,2789.61,2750,1900,0.447368421,0.468215789
NAWADA,Bihar,Oct-21,1022.29,820,954.9,0.141271337,0.070572835
PALI,Rajasthan,Oct-21,4386.2,4100,4559.55,0.100788455,0.038019103
PATNA,Bihar,Oct-21,15552.28,18840,11912,0.581598388,0.305597717
PRATAPGARH,Rajasthan,Oct-21,1673.19,1800,1437.3,0.252348153,0.164120225
PURNEA,Bihar,Oct-21,2006.07,2670,1416.75,0.884595024,0.41596612
RAJSAMAND,Rajasthan,Oct-21,1481.15,1300,1806.05,0.280197115,0.179895352
ROHTAS,Bihar,Oct-21,3336.33,7345,3434.5,1.138593682,0.028583491
SAHARSA,Bihar,Oct-21,1610.03,1695,901,0.881243063,0.786936737
SAMASTIPUR,Bihar,Oct-21,5988.82,4155,2171.3,0.913600147,1.758172523
SARAN,Bihar,Oct-21,6113.26,6210,5378.9,0.154511145,0.136526056
SAWAIMADHOPUR,Rajasthan,Oct-21,2670.16,3200,3783,0.154110494,0.294168649
SEIKHPURA,Bihar,Oct-21,843.78,950,506,0.877470356,0.667549407
SHEOHAR,Bihar,Oct-21,714.87,1040,552,0.884057971,0.295054348
